fiyat,oda_sayisi,metre_kare,bina_yasi,konut_Satılık Bungalov,konut_Satılık Daire,konut_Satılık Köşk,konut_Satılık Müstakil Ev,konut_Satılık Prefabrik,konut_Satılık Residence,konut_Satılık Villa,konut_Satılık Yazlık,konut_Satılık Çiftlik Evi
5250000,5,230 ,14,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
950000,2,75 ,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3000000,3,140 ,20,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4000000,4,110 ,6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5300000,3,250 ,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1050000,2,50 ,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47750000,49,1.250 ,15,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2410000,3,124 ,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1400000,2,55 ,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2200000,3,100 ,35,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2500000,4,150 ,13,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5500000,5,200 ,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3300000,4,170 ,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
